LogMessage,LogStatement,LogTemplate,LogTemplate_fromLS
"17/06/09 20:10:58 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0024_m_000161_1156: Committed
","logInfo(""attempt_${jobId}_${taskId}_${attemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskId}_${attemptId}: Committed
"17/06/09 20:10:58 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1166
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:10:58 INFO storage.MemoryStore: Block broadcast_34 stored as values in memory (estimated size 77.4 KB, free 593.1 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:59 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:59 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:59 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:59 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:59 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1
","logInfo(""File Output Committer Algorithm version is 1"")",File Output Committer Algorithm version is <*>,File Output Committer Algorithm version is 1
"17/06/09 20:10:59 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0025_m_000004_1199: Committed
","logInfo(""Committed $taskAttemptId"")",<*>: Committed,Committed <*>
"17/06/09 20:10:59 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0025_m_000003_1198: Committed
","logInfo(""attempt_${jobId}_${taskType}_${taskAttemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskType}_${taskAttemptId}: Committed
"17/06/09 20:10:59 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0025_m_000000_1166: Committed
","logInfo(""Committed attempt_201706092018_0025_m_000000_1166"")",<*>: Committed,Committed attempt_201706092018_0025_m_000000_1166
"17/06/09 20:10:59 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0025_m_000002_1194: Committed
","logInfo(""attempt_$attemptId: Committed"")",<*>: Committed,attempt_<*>: Committed
"17/06/09 20:10:59 INFO mapred.SparkHadoopMapRedUtil: attempt_201706092018_0025_m_000001_1180: Committed
","logInfo(""attempt_${jobId}_${taskId}_${attemptId}: Committed"")",<*>: Committed,attempt_${jobId}_${taskId}_${attemptId}: Committed
"17/06/09 20:11:07 INFO storage.MemoryStore: Block broadcast_37 stored as values in memory (estimated size 8.8 KB, free 500.9 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:11:07 INFO storage.MemoryStore: Block broadcast_36 stored as values in memory (estimated size 281.6 KB, free 803.9 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:11:07 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1207
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:11:07 INFO rdd.HadoopRDD: Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:51044+7292
","logInfo(s""Input split: $inputPath:$offset+$length"")",Input split: <*>,Input split: <*>:<*>+<*>
"17/06/09 20:11:08 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1219
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:11:08 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1220
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:11:08 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1229
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:11:08 INFO rdd.HadoopRDD: Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:226052+7292
","logInfo(s""Input split: $inputPath:$startOffset+$length"")",Input split: <*>,Input split: <*>:<*>+<*>
"17/06/09 20:11:08 INFO storage.MemoryStore: Block broadcast_38 stored as values in memory (estimated size 9.6 KB, free 853.7 KB)
","logInfo(s""Block $blockName stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:11:09 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1249
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:11:09 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1254
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:11:09 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1259
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:11:09 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1264
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:11:09 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1267
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:11:09 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1268
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:11:09 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1270
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:11:09 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1278
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:11:09 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1279
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:11:10 INFO storage.MemoryStore: Block broadcast_39 stored as values in memory (estimated size 9.2 KB, free 868.3 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:11:10 INFO storage.MemoryStore: Block broadcast_40 stored as values in memory (estimated size 9.9 KB, free 884.2 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as <*> in memory (estimated size <*>, free <*>)"
"17/06/09 20:11:10 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1329
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:11:10 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1333
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:11:10 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1335
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:11:11 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1349
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
"17/06/09 20:11:11 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1353
","logInfo(""Got assigned task "" + taskId)",Got assigned task <*>,Got assigned task 
